"store";"websites";"attribute_set";"type";"category_ids";"url";"entity_id";"sku";"has_options";"name";"meta_title";"meta_description";"image";"small_image";"thumbnail";"url_key";"url_path";"custom_design";"page_layout";"options_container";"image_label";"small_image_label";"thumbnail_label";"country_of_manufacture";"msrp_enabled";"msrp_display_actual_price_type";"gift_message_available";"status";"is_recurring";"visibility";"tax_class_id";"price";"special_price";"weight";"msrp";"description";"short_description";"meta_keyword";"custom_layout_update";"special_from_date";"special_to_date";"news_from_date";"news_to_date";"custom_design_from";"custom_design_to";"qty";"min_qty";"use_config_min_qty";"is_qty_decimal";"backorders";"use_config_backorders";"min_sale_qty";"use_config_min_sale_qty";"max_sale_qty";"use_config_max_sale_qty";"is_in_stock";"low_stock_date";"notify_stock_qty";"use_config_notify_stock_qty";"manage_stock";"use_config_manage_stock";"stock_status_changed_auto";"use_config_qty_increments";"qty_increments";"use_config_enable_qty_inc";"enable_qty_increments";"is_decimal_divided";"stock_status_changed_automatically";"use_config_enable_qty_increments";"product_name";"store_id";"product_type_id";"product_status_changed";"product_changed_websites";"website";"_media_image";"_media_lable";"_media_position";"_media_is_disabled"
"ge";"base";"Default";"simple";"3,6,7";"http://127.0.0.1/highlander-men-s-checkered-casual-blue-shirt.html?___store=ge";"1";"mcs001";"0";"HIGHLANDER Men's Checkered Casual Blue Shirt";"";"";"http://127.0.0.1/media/catalog/product/cache/1/image/500x/040ec09b1e35df139433887a97daa66f/h/l/hlsh008964-blue-highlander-l-400x400-imaehg6f7duvupja.jpeg";"/h/l/hlsh008964-blue-highlander-l-400x400-imaehg6fbvtv4gyy_1.jpeg";"/h/l/hlsh008964-blue-highlander-l-400x400-imaehg6fzh5vvzmc.jpeg";"highlander-men-s-checkered-casual-blue-shirt";"highlander-men-s-checkered-casual-blue-shirt.html";"";"No layout updates";"Product Info Column";"";"";"";"India";"Use config";"Use config";"No";"Enabled";"No";"Catalog, Search";"Taxable Goods";"549.0000";"";"100.0000";"";"Fabric:Cotton
Slim Fit, Full Sleeve
Collar Type: Regular
Pattern: Checkered
Set of 1";"Fabric:Cotton
Slim Fit, Full Sleeve
Collar Type: Regular
Pattern: Checkered
Set of 1";"";"";"";"";"2016-09-15 00:00:00";"2016-09-30 00:00:00";"";"";"100.0000";"0.0000";"1";"0";"0";"1";"1.0000";"1";"0.0000";"1";"1";"";"";"1";"0";"1";"0";"1";"0.0000";"1";"0";"0";"0";"1";"HIGHLANDER Men's Checkered Casual Blue Shirt";"6";"simple";"1";"";"";"";"";"";""
"ge";"";"";"";"";"";"";"mcs001";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"/h/l/hlsh008964-blue-highlander-l-400x400-imaehg6fakex5qxn.jpeg";"";"3";"0"
"ge";"";"";"";"";"";"";"mcs001";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"/h/l/hlsh008964-blue-highlander-l-400x400-imaehg6fmcwmaarh.jpeg";"";"5";"0"
"ge";"base";"Default";"simple";"3,6,7";"http://127.0.0.1/rapphael-men-s-solid-casual-blue-shirt.html?___store=ge";"2";"mcs002";"0";"Rapphael Men's Solid Casual Blue Shirt";"";"";"http://127.0.0.1/media/catalog/product/cache/1/image/500x/040ec09b1e35df139433887a97daa66f/r/p/rpl-00025-rapphael-xl-400x400-imaeety79z9fz5ds.jpeg";"/r/p/rpl-00025-rapphael-xl-400x400-imaeety8jqpuujk5.jpeg";"/r/p/rpl-00025-rapphael-xl-400x400-imaeety7m5wvkwtw.jpeg";"rapphael-men-s-solid-casual-blue-shirt";"rapphael-men-s-solid-casual-blue-shirt.html";"";"No layout updates";"Product Info Column";"";"";"";"India";"Use config";"Use config";"No";"Enabled";"No";"Catalog, Search";"Taxable Goods";"600.0000";"";"100.0000";"";"Fabric:Cotton
Regular Fit, Full Sleeve
Pattern: Solid
Set of 1";"Fabric:Cotton
Regular Fit, Full Sleeve
Pattern: Solid
Set of 1";"";"";"";"";"";"";"";"";"100.0000";"0.0000";"1";"0";"0";"1";"1.0000";"1";"0.0000";"1";"1";"";"";"1";"0";"1";"0";"1";"0.0000";"1";"0";"0";"0";"1";"Rapphael Men's Solid Casual Blue Shirt";"6";"simple";"1";"";"";"";"";"";""
"ge";"";"";"";"";"";"";"mcs002";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"/r/p/rpl-00025-rapphael-xl-400x400-imaeety7e8pgpzqd.jpeg";"";"4";"0"
"ge";"";"";"";"";"";"";"mcs002";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"/r/p/rpl-00025-rapphael-xl-400x400-imaeety6sgtfsgfm.jpeg";"";"5";"0"
"ge";"base";"Default";"simple";"3,5,6";"http://127.0.0.1/john-players-men-s-formal-shirt.html?___store=ge";"3";"mfs001";"0";"John Players Men's Formal Shirt";"";"";"http://127.0.0.1/media/catalog/product/cache/1/image/500x/040ec09b1e35df139433887a97daa66f/j/w/jwnfs059d33-john-players-40-400x400-imae3r2v7ahqaaea.jpeg";"/j/w/jwnfs059d33-john-players-40-400x400-imae3r2vchzgftqx.jpeg";"/j/w/jwnfs059d33-john-players-40-400x400-imae3r2vkcyzwutm.jpeg";"john-players-men-s-formal-shirt";"john-players-men-s-formal-shirt.html";"";"No layout updates";"Product Info Column";"";"";"";"India";"Use config";"Use config";"No";"Enabled";"No";"Catalog, Search";"Taxable Goods";"471.0000";"";"100.0000";"";"Suitable For Western Wear";"Suitable For Western Wear";"";"";"";"";"2016-09-15 00:00:00";"2016-09-30 00:00:00";"";"";"100.0000";"0.0000";"1";"0";"0";"1";"1.0000";"1";"0.0000";"1";"1";"";"";"1";"0";"1";"0";"1";"0.0000";"1";"0";"0";"0";"1";"John Players Men's Formal Shirt";"6";"simple";"1";"";"";"";"";"";""
"ge";"";"";"";"";"";"";"mfs001";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"/j/w/jwnfs059d33-john-players-40-400x400-imae3r2vthwhcwgq.jpeg";"";"4";"0"
"ge";"";"";"";"";"";"";"mfs001";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"/j/w/jwnfs059d33-john-players-40-400x400-imae3r2vw9hyu6v5.jpeg";"";"5";"0"
"ge";"base";"Default";"simple";"4";"http://127.0.0.1/just-chic-embroidered-kurta-churidar.html?___store=ge";"4";"wk001";"0";"Just Chic Embroidered Kurta & Churidar(Stitched)";"";"";"http://127.0.0.1/media/catalog/product/cache/1/image/500x/040ec09b1e35df139433887a97daa66f/d/e/designer-just-chic-free-400x400-imaefhnfr2gdcypy.jpeg";"/d/e/designer-just-chic-free-400x400-imaefhfavrnnzagg.jpeg";"/d/e/designer-just-chic-free-400x400-imaefhfavrnnzagg.jpeg";"just-chic-embroidered-kurta-churidar";"just-chic-embroidered-kurta-churidar.html";"";"No layout updates";"Product Info Column";"";"";"";"India";"Use config";"Use config";"No";"Enabled";"No";"Catalog, Search";"Taxable Goods";"674.0000";"";"250.0000";"";"Type: Kurta & Churidar
Sleeve: Full Sleeve
Pattern: Embroidered
Occasion: Festive & Party
Anarkali Kurta | Dupatta Included";"Type: Kurta & Churidar
Sleeve: Full Sleeve
Pattern: Embroidered
Occasion: Festive & Party
Anarkali Kurta | Dupatta Included";"";"";"";"";"2016-09-15 00:00:00";"2016-09-30 00:00:00";"";"";"100.0000";"0.0000";"1";"0";"0";"1";"1.0000";"1";"0.0000";"1";"1";"";"";"1";"0";"1";"0";"1";"0.0000";"1";"0";"0";"0";"1";"Just Chic Embroidered Kurta & Churidar(Stitched)";"6";"simple";"1";"";"";"";"";"";""
"ge";"base";"Default";"simple";"4";"http://127.0.0.1/mokshi-casual-solid-women-s-kurti.html?___store=ge";"5";"wk002";"0";"Mokshi Casual Solid Women's Kurti";"";"";"http://127.0.0.1/media/catalog/product/cache/1/image/500x/040ec09b1e35df139433887a97daa66f/k/u/ku143pnk-mokshi-3xl-400x400-imaec9fpejwnvqfz.jpeg";"/k/u/ku143pnk-mokshi-l-400x400-imaec9fpecxg6ezg.jpeg";"/k/u/ku143pnk-mokshi-l-400x400-imaec9fppytfzcgm.jpeg";"mokshi-casual-solid-women-s-kurti";"mokshi-casual-solid-women-s-kurti.html";"";"No layout updates";"Product Info Column";"";"";"";"India";"Use config";"Use config";"No";"Enabled";"No";"Catalog, Search";"Shipping";"474.0000";"";"250.0000";"";"Sleeve Type: 3/4 Sleeve
Fabric: Cotton
Casual Wear
Pattern: Solid
Pack of: 1
Suitable for: Ethnic Wear";"Sleeve Type: 3/4 Sleeve
Fabric: Cotton
Casual Wear
Pattern: Solid
Pack of: 1
Suitable for: Ethnic Wear";"";"";"";"";"";"";"";"";"100.0000";"0.0000";"1";"0";"0";"1";"1.0000";"1";"0.0000";"1";"1";"";"";"1";"0";"1";"0";"1";"0.0000";"1";"0";"0";"0";"1";"Mokshi Casual Solid Women's Kurti";"6";"simple";"1";"";"";"";"";"";""
"ge";"";"";"";"";"";"";"wk002";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"/k/u/ku143pnk-mokshi-xl-400x400-imaec9fpbyh4gseh.jpeg";"";"4";"0"
"ge";"base";"Default";"simple";"4";"http://127.0.0.1/vimalnath-synthetics-geometric-print-fashion-georgette-sari.html?___store=ge";"6";"ws001";"0";"VIMALNATH SYNTHETICS Geometric Print Fashion Georgette Sari";"";"";"http://127.0.0.1/media/catalog/product/cache/1/image/500x/040ec09b1e35df139433887a97daa66f/1/-/1-1-ethtdrhdhdtrhg-vimalnath-synthetics-400x400-imaekgu273ydzgyf.jpeg";"/1/-/1-1-ethtdrhdhdtrhg-vimalnath-synthetics-400x400-imaekgufrwtfhrzr.jpeg";"/1/-/1-1-ethtdrhdhdtrhg-vimalnath-synthetics-400x400-imaekguhhngxa2nx.jpeg";"vimalnath-synthetics-geometric-print-fashion-georgette-sari";"vimalnath-synthetics-geometric-print-fashion-georgette-sari.html";"";"No layout updates";"Product Info Column";"";"";"";"India";"Use config";"Use config";"No";"Enabled";"No";"Catalog, Search";"Shipping";"332.0000";"";"250.0000";"";"Style: Half & Half Sari
Saree Fabric: Georgette
Blouse Fabric: Georgette
With Blouse Piece
Type: Fashion
Set of: 1";"Style: Half & Half Sari
Saree Fabric: Georgette
Blouse Fabric: Georgette
With Blouse Piece
Type: Fashion
Set of: 1";"";"";"";"";"";"";"";"";"100.0000";"0.0000";"1";"0";"0";"1";"1.0000";"1";"0.0000";"1";"1";"";"";"1";"0";"1";"0";"1";"0.0000";"1";"0";"0";"0";"1";"VIMALNATH SYNTHETICS Geometric Print Fashion Georgette Sari";"6";"simple";"1";"";"";"";"";"";""
"ge";"";"";"";"";"";"";"ws001";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"/1/-/1-1-ethtdrhdhdtrhg-vimalnath-synthetics-400x400-imaekh6jjg85xved.jpeg";"";"4";"0"
"ge";"base";"Default";"simple";"3";"http://127.0.0.1/eg-egbb-30-l-backpack.html?___store=ge";"7";"mb001";"0";"EG EGBB 30 L Backpack(Blue)";"";"";"http://127.0.0.1/media/catalog/product/cache/1/image/500x/040ec09b1e35df139433887a97daa66f/e/g/egbb1-eg-backpack-egbb-400x400-imaecearathffxg8.jpeg";"/e/g/egbb1-eg-backpack-egbb-400x400-imaeeha95uguef4t.jpeg";"/e/g/egbb1-eg-backpack-egbb-400x400-imaeehatwzgm9scz.jpeg";"eg-egbb-30-l-backpack";"eg-egbb-30-l-backpack.html";"";"No layout updates";"Product Info Column";"";"";"";"India";"Use config";"Use config";"No";"Enabled";"No";"Catalog, Search";"Taxable Goods";"399.0000";"";"300.0000";"";"For Boys, Men, Girls, Women
Capacity: 30 L
Waterproof";"For Boys, Men, Girls, Women
Capacity: 30 L
Waterproof";"";"";"";"";"";"";"";"";"100.0000";"0.0000";"1";"0";"0";"1";"1.0000";"1";"0.0000";"1";"1";"";"";"1";"0";"1";"0";"1";"0.0000";"1";"0";"0";"0";"1";"EG EGBB 30 L Backpack(Blue)";"6";"simple";"1";"";"";"";"";"";""
